"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Info"
"1142","0.000203","127.0.0.1","127.0.0.1","TCP","144","0.000177000","57024  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658740 TSecr=1426658740 [TCP segment of a reassembled PDU]"
"1152","0.000182","127.0.0.1","127.0.0.1","TCP","145","0.000222000","57025  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658740 TSecr=1426658740"
"1155","0.000016","127.0.0.1","127.0.0.1","TCP","144","0.000040000","57026  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658740 TSecr=1426658740 [TCP segment of a reassembled PDU]"
"1168","0.000206","127.0.0.1","127.0.0.1","TCP","143","0.000058000","57027  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658740 TSecr=1426658740"
"1172","0.000030","127.0.0.1","127.0.0.1","TCP","142","0.000082000","57028  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426658740 TSecr=1426658740 [TCP segment of a reassembled PDU]"
"1188","0.000342","127.0.0.1","127.0.0.1","TCP","143","0.000161000","57030  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658741 TSecr=1426658741"
"1196","0.000330","127.0.0.1","127.0.0.1","TCP","143","0.000489000","57029  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658741 TSecr=1426658741 [TCP segment of a reassembled PDU]"
"1206","0.000223","127.0.0.1","127.0.0.1","TCP","144","0.000288000","57031  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658741 TSecr=1426658741"
"1210","0.000026","127.0.0.1","127.0.0.1","TCP","144","0.000058000","57032  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658741 TSecr=1426658741"
"1230","0.000581","127.0.0.1","127.0.0.1","TCP","144","0.000415000","57033  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658742 TSecr=1426658742"
"1242","0.000262","127.0.0.1","127.0.0.1","TCP","142","0.000053000","57035  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426658742 TSecr=1426658742"
"1243","0.000007","127.0.0.1","127.0.0.1","TCP","145","0.000056000","57034  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658742 TSecr=1426658742"
"1262","0.000405","127.0.0.1","127.0.0.1","TCP","145","0.000123000","57037  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658743 TSecr=1426658742"
"1263","0.000000","127.0.0.1","127.0.0.1","TCP","143","0.000252000","57036  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658743 TSecr=1426658742"
"1278","0.000336","127.0.0.1","127.0.0.1","TCP","143","0.000149000","57038  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658743 TSecr=1426658743"
"1288","0.000219","127.0.0.1","127.0.0.1","TCP","143","0.000048000","57039  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658743 TSecr=1426658743"
"1300","0.000207","127.0.0.1","127.0.0.1","TCP","145","0.000045000","57040  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658743 TSecr=1426658743"
"1310","0.000200","127.0.0.1","127.0.0.1","TCP","145","0.000043000","57041  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658744 TSecr=1426658743"
"1320","0.000216","127.0.0.1","127.0.0.1","TCP","143","0.000051000","57042  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658744 TSecr=1426658744"
"1330","0.000199","127.0.0.1","127.0.0.1","TCP","143","0.000047000","57043  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658744 TSecr=1426658744"
"1340","15.508429","127.0.0.1","127.0.0.1","TCP","145","0.000114000","57044  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426674198 TSecr=1426674198"
"1350","0.000237","127.0.0.1","127.0.0.1","TCP","145","0.000040000","57045  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426674199 TSecr=1426674198"
"1360","0.000232","127.0.0.1","127.0.0.1","TCP","143","0.000040000","57046  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426674199 TSecr=1426674199"
"1370","0.000165","127.0.0.1","127.0.0.1","TCP","143","0.000023000","57047  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426674199 TSecr=1426674199"
"1380","0.000184","127.0.0.1","127.0.0.1","TCP","143","0.000052000","57048  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426674199 TSecr=1426674199"
"1390","0.000268","127.0.0.1","127.0.0.1","TCP","145","0.000078000","57049  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426674199 TSecr=1426674199"
"1404","0.000276","127.0.0.1","127.0.0.1","TCP","144","0.000133000","57050  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426674200 TSecr=1426674199 [TCP segment of a reassembled PDU]"
"1413","0.000154","127.0.0.1","127.0.0.1","TCP","145","0.000281000","57051  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426674200 TSecr=1426674199"
"1416","0.000107","127.0.0.1","127.0.0.1","TCP","144","0.000093000","57052  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426674200 TSecr=1426674200 [TCP segment of a reassembled PDU]"
